ID,start_date,start_time,mode,eval_id,net,fc2_nodes,fc1_nodes,r_c,cls,total_folds,fold,level,sampler,synthesis_data,ts_level_nb,masked_by_lung,loss,pretrained,epochs,weight_decay,outfile,hostname,remark,end_date,end_time,elapsed_time,train_loss,train_mae,train_mae_end5,valid_loss,valid_mae,valid_mae_end5,test_loss,test_mae,test_mae_end5,icc_train_disext,icc_train_gg,icc_train_retp,valid_ave_Acc_disext,valid_ave_MAE_disext,valid_WKappa_disext,valid_ave_Acc_gg,valid_ave_MAE_gg,valid_WKappa_gg,valid_ave_Acc_retp,valid_ave_MAE_retp,valid_WKappa_retp,valid_ave_Acc_all,valid_ave_MAE_all,valid_WKappa_all,icc_valid_disext,icc_valid_gg,icc_valid_retp,icc_test_disext,icc_test_gg,icc_test_retp,metrics_min,Job_ID,Cluster,User/Group,State,Cores,CPU_Utilized,CPU_Efficiency,Job_Wall-clock_time,Memory_Utilized,Memory_Efficiency,Nodes,Cores_per_node,WARNING,amp,net_parameters,data_shuffle,data_shuffle_seed,data_dir,label_file,tr_pat_nb,vd_pat_nb,ts_pat_nb,RandomVerticalFlip,RandomHorizontalFlip,RandomRotation,RandomShift,image_size,RandGaussianNoise,RandScale,batch_size,loader_workers,lr,gpuname,gpu_mem_usage,gpu_util,train_recon,fc_m1,workers,sys,valid_period,icc_validaug_disext,icc_validaug_gg,icc_validaug_retp,validaug_loss,validaug_mae,validaug_mae_end5,valid_ave_maedisext,valid_meandisext,valid_stddisext,valid_iccdisext,valid_ave_maegg,valid_meangg,valid_stdgg,valid_iccgg,valid_ave_maeretp,valid_meanretp,valid_stdretp,valid_iccretp,sys_pro,t_load_data,t_to_device,t_train_per_step,gg_increase,bal_filter,sys_ratio,_ori_weight0,retp_blur,gg_blur,sys_pro_in_0,gen_gg_as_retp,icc_alltrain_combined,icc_allvalid_combined,icc_alltest_combined,infer_2nd,train_on_level,level_node,resample_z,z_size,y_size,x_size,infer_stride,kd_net
726.0,2021-04-20,15:54:04,infer,614.0,vgg11_bn,1024.0,1024.0,r,disext,4.0,3.0,0.0,1.0,0.0,240.0,1.0,mse,1.0,2.0,0.001,,,,2021-04-20,15:54:22,0:00:18,9.58,2.25,1.74,98.28,5.42,5.0,92.86,5.37,5.05,1.0,1.0,1.0,0.0940539178634416,16.308986441798943,0.6490858738903287,0.1140924521940931,16.42349205411057,0.5697556704697804,0.1100799900259218,12.02620408726485,0.6548383672169436,0.1060754533611522,14.919560861058123,0.6245599705256842,0.81,0.71,0.81,0.86,0.81,0.81,mae_end5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727.0,2021-04-20,15:54:15,infer,615.0,vgg11_bn,1024.0,1024.0,r,disext,4.0,3.0,0.0,1.0,0.0,240.0,1.0,mse,1.0,2.0,0.001,,,,2021-04-20,15:54:32,0:00:17,10.17,2.35,1.84,85.64,5.54,5.34,91.72,5.21,4.92,1.0,1.0,1.0,0.176821676279251,14.303488985099229,0.5595384168672667,0.1029734115868569,14.50725744843392,0.5561265891263186,0.0886113871015148,13.38409053652956,0.5048503168199122,0.1228021583225409,14.06494565668757,0.5401717742711658,0.73,0.7,0.67,0.84,0.75,0.8,mae_end5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728.0,2021-04-20,15:54:30,infer,616.0,vgg11_bn,1024.0,1024.0,r,disext,4.0,3.0,0.0,1.0,0.0,240.0,1.0,mse,1.0,2.0,0.001,,,,2021-04-20,15:54:47,0:00:17,8.08,2.04,1.58,127.87,5.83,5.54,83.15,5.02,4.68,0.99,1.0,0.99,0.089695686887195,17.363639435040366,0.5515155397737672,0.1237919678423111,19.836582467875377,0.5783507765601363,0.1264231480980249,12.94733961146428,0.5623851458606404,0.1133036009425103,16.715853838126673,0.5640838207315146,0.73,0.65,0.77,0.85,0.8,0.79,mae_end5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729.0,2021-04-20,15:54:41,infer,617.0,vgg11_bn,1024.0,1024.0,r,disext,4.0,3.0,0.0,1.0,0.0,240.0,1.0,mse,1.0,2.0,0.001,,,,2021-04-20,15:54:59,0:00:18,8.8,2.13,1.58,127.72,6.95,6.62,106.39,5.25,4.98,1.0,1.0,1.0,0.1319233676376533,14.403588785941729,0.6239657210401891,0.1015890325595887,16.83934047292826,0.5408163265306123,0.0956599938697125,14.64243477986285,0.6195431041356989,0.1097241313556515,15.295121346244278,0.5947750505688334,0.79,0.7,0.81,0.82,0.7,0.8,mae_end5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730.0,2021-04-20,15:55:01,infer,658.0,vgg11_bn,1024.0,1024.0,r,disext,4.0,3.0,0.0,1.0,0.0,240.0,1.0,mse,1.0,2.0,0.001,,,,2021-04-20,15:55:19,0:00:18,8.99,2.21,1.69,83.6,5.34,4.88,88.59,5.2,4.79,0.99,1.0,0.99,0.1253779289493575,16.752810846560852,0.6449085534379582,0.0975784670806898,18.115085111243392,0.5747344391465233,0.0996138154580601,12.38751906976086,0.647832020883656,0.1075234038293691,15.751805009188368,0.6224916711560459,0.8,0.7,0.82,0.81,0.8,0.77,mae_end5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731.0,2021-04-20,15:55:10,infer,659.0,vgg11_bn,1024.0,1024.0,r,disext,4.0,3.0,0.0,1.0,0.0,240.0,1.0,mse,1.0,2.0,0.001,,,,2021-04-20,15:55:28,0:00:18,8.93,2.24,1.71,85.16,5.49,5.28,89.97,5.13,4.79,1.0,1.0,0.99,0.1241690986815015,15.111897729199445,0.5595462056237885,0.0791227602151972,15.202221797810031,0.5184767153808945,0.1051154164975303,13.954143983615529,0.5192166102194081,0.1028024251314096,14.756087836875002,0.532413177074697,0.72,0.66,0.68,0.85,0.79,0.81,mae_end5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
732.0,2021-04-20,15:55:38,infer,662.0,vgg11_bn,1024.0,1024.0,r,disext,4.0,3.0,0.0,1.0,0.0,240.0,1.0,mse,1.0,2.0,0.001,,,,2021-04-20,15:55:56,0:00:18,8.54,2.14,1.63,122.91,6.94,6.66,91.23,5.27,4.97,0.99,0.99,0.99,0.1117070759927902,13.21598553951495,0.6343962115743782,0.0942225914963101,18.60275517527426,0.5345067866181648,0.09837519684067,13.871529300077894,0.6256527897961128,0.1014349547765901,15.2300900049557,0.5981852626628853,0.81,0.67,0.82,0.85,0.76,0.82,mae_end5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733.0,2021-04-20,15:55:47,infer,663.0,vgg11_bn,1024.0,1024.0,r,disext,4.0,3.0,0.0,1.0,0.0,240.0,1.0,mse,1.0,2.0,0.001,,,,2021-04-20,15:56:05,0:00:18,8.39,2.13,1.65,126.85,5.88,5.6,72.81,4.86,4.53,0.99,0.99,0.99,0.0900912837224204,16.797614998950134,0.5685184098510871,0.1154943518215829,20.54947045707916,0.5668937329700273,0.0741024438068772,11.76646165505582,0.5770838297516083,0.0932293597836268,16.371182370361705,0.5708319908575743,0.74,0.63,0.8,0.86,0.8,0.8,mae_end5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
734.0,2021-04-20,15:56:09,infer,622.0,vgg11_bn,1024.0,1024.0,r,disext,4.0,3.0,0.0,1.0,0.0,240.0,1.0,mse,1.0,2.0,0.001,,,,2021-04-20,15:56:27,0:00:18,10.5,2.4,1.92,95.19,5.51,5.13,96.69,5.3,5.03,0.99,1.0,0.99,0.1138825900730662,17.20899470899471,0.6354255878374786,0.0836676908352447,20.14699954077595,0.5350520630324629,0.0959105444699217,12.980213544583128,0.6458357805708916,0.0978202751260775,16.778735931451262,0.6054378104802777,0.79,0.65,0.81,0.82,0.79,0.72,mae_end5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735.0,2021-04-20,15:56:18,infer,623.0,vgg11_bn,1024.0,1024.0,r,disext,4.0,3.0,0.0,1.0,0.0,240.0,1.0,mse,1.0,2.0,0.001,,,,2021-04-20,15:56:35,0:00:17,9.94,2.34,1.89,85.42,5.58,5.32,92.04,5.11,4.8,0.99,1.0,0.99,0.0893509210111999,14.590137770049408,0.5502045006628318,0.082422969187675,14.017687377981494,0.5333542550723847,0.089426067590992,14.35353641857707,0.5016197147266837,0.0870666525966223,14.320453855535993,0.5283928234873,0.74,0.72,0.67,0.85,0.81,0.8,mae_end5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
