ID,start_date,start_time,mode,eval_id,net,fc2_nodes,fc1_nodes,fc_m1,r_c,total_folds,fold,level,sampler,ts_level_nb,masked_by_lung,z_size,y_size,x_size,loss,pretrained,epochs,weight_decay,batch_size,infer_stride,outfile,hostname,remark,Job_ID,Cluster,User/Group,State,Nodes,Cores_per_node,CPU_Utilized,CPU_Efficiency,Job_Wall-clock_time,Memory_Utilized,Memory_Efficiency,WARNING,end_date,end_time,elapsed_time,train_loss,train_mae,valid_loss,valid_mae,test_loss,test_mae,amp,net_parameters,data_shuffle,data_shuffle_seed,data_dir,label_file,tr_pat_nb,vd_pat_nb,ts_pat_nb,loader_workers,lr,gpuname,gpu_mem_usage,gpu_util,ave_Acc_L1_pos,ave_MAE_L1_pos,ave_WKappa_L1_pos,ave_Acc_L2_pos,ave_MAE_L2_pos,ave_WKappa_L2_pos,ave_Acc_L3_pos,ave_MAE_L3_pos,ave_WKappa_L3_pos,ave_Acc_L4_pos,ave_MAE_L4_pos,ave_WKappa_L4_pos,ave_Acc_L5_pos,ave_MAE_L5_pos,ave_WKappa_L5_pos,ave_Acc_all,ave_MAE_all,ave_WKappa_all,metrics_min,ave_Acc_L1,ave_MAE_L1,ave_WKappa_L1,ave_Acc_L2,ave_MAE_L2,ave_WKappa_L2,ave_Acc_L3,ave_MAE_L3,ave_WKappa_L3,ave_Acc_L4,ave_MAE_L4,ave_WKappa_L4,ave_Acc_L5,ave_MAE_L5,ave_WKappa_L5,train_L1,train_L2,train_L3,train_L4,train_L5,valid_L1,valid_L2,valid_L3,valid_L4,valid_L5,test_L1,test_L2,test_L3,test_L4,test_L5,icc_train_L1,icc_train_L2,icc_train_L3,icc_train_L4,icc_train_L5,icc_valid_L1,icc_valid_L2,icc_valid_L3,icc_valid_L4,icc_valid_L5,icc_test_L1,icc_test_L2,icc_test_L3,icc_test_L4,icc_test_L5,valid_ave_Acc_L1,valid_ave_MAE_L1,valid_WKappa_L1,valid_ave_Acc_L2,valid_ave_MAE_L2,valid_WKappa_L2,valid_ave_Acc_L3,valid_ave_MAE_L3,valid_WKappa_L3,valid_ave_Acc_L4,valid_ave_MAE_L4,valid_WKappa_L4,valid_ave_Acc_L5,valid_ave_MAE_L5,valid_WKappa_L5,valid_ave_Acc_all,valid_ave_MAE_all,valid_WKappa_all,resample_z,icc_validaug_L1,icc_validaug_L2,icc_validaug_L3,icc_validaug_L4,icc_validaug_L5,fine_level,fine_window,InsNorm,workers,if_test,valid_period,upper_value,lower_value,validaug_loss,validaug_mae,t_load_data,t_to_device,t_train_per_step,in_level,train_on_level,level_node,kd_net,infer_2nd,icc_alltrain_combined,icc_allvalid_combined,icc_alltest_combined
21,2021-04-18,01:05:16,train,0,conv3fc1,1024,1024,512,r,4,1,0.0,0,240,0.0,192,256,256,mse,0,600,0.0,5,18,slurmlogs/slurm-82942_0,node855,"fix transform bug, try again",82942.0,alice,jjia/afd_b,COMPLETED (exit code 0),1.0,12.0,06:55:09,28.06% of 1-00:39:36 core-walltime,02:03:18,64.60 GB,0.00% of 0.00 MB,Efficiency statistics may be misleading for RUNNING jobs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2021-04-18,01:05:16,train,0,conv3fc1,1024,1024,512,r,4,2,0.0,0,240,0.0,192,256,256,mse,0,600,0.0,5,18,slurmlogs/slurm-82942_1,node855,"fix transform bug, try again",82942.0,alice,jjia/afd_b,COMPLETED (exit code 0),1.0,12.0,06:55:09,28.06% of 1-00:39:36 core-walltime,02:03:18,64.60 GB,0.00% of 0.00 MB,Efficiency statistics may be misleading for RUNNING jobs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2021-04-18,03:08:51,train,0,conv3fc1,1024,1024,512,r,4,4,0.0,0,240,0.0,192,256,256,mse,0,600,0.0,5,18,slurmlogs/slurm-82943_1,node855,"fix transform bug, try again",82943.0,alice,jjia/afd_b,COMPLETED (exit code 0),1.0,12.0,06:49:07,28.32% of 1-00:04:48 core-walltime,02:00:24,64.68 GB,0.00% of 0.00 MB,Efficiency statistics may be misleading for RUNNING jobs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2021-04-18,03:08:52,train,0,conv3fc1,1024,1024,512,r,4,3,0.0,0,240,0.0,192,256,256,mse,0,600,0.0,5,18,slurmlogs/slurm-82943_0,node855,"fix transform bug, try again",82943.0,alice,jjia/afd_b,COMPLETED (exit code 0),1.0,12.0,06:49:07,28.32% of 1-00:04:48 core-walltime,02:00:24,64.68 GB,0.00% of 0.00 MB,Efficiency statistics may be misleading for RUNNING jobs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2021-04-18,14:42:58,train,0,conv3fc1,1024,1024,512,r,4,1,0.0,0,240,0.0,192,256,256,mse,0,2,0.0,5,18,,,,,,,,,,,,,,,,2021-04-18,14:45:01,0:02:03,11015.85,97.07,10558.69,94.27,12154.05,103.49,True,3.0,True,49.0,dataset/LowResolution_fix_size,dataset/SSc_DeepLearning/GohScores.xlsx,134.0,45.0,48.0,5.0,0.0001,,,,,,,,,,,,,,,,,,,0.0,,0.0,mae,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2021-04-18,14:47:47,train,0,conv3fc1,1024,1024,512,r,4,1,0.0,0,240,0.0,192,256,256,mse,0,600,0.0,5,18,slurmlogs/slurm-83100_0,node855,"fix transform bug, try again",83100.0,alice,jjia/afd_b,FAILED (exit code 1),1.0,6.0,1-09:34:36,63.41% of 2-04:56:54 core-walltime,08:49:29,144.74 GB,0.00% of 0.00 MB,Efficiency statistics may be misleading for RUNNING jobs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2021-04-18,14:47:48,train,0,conv3fc1,1024,1024,512,r,4,2,0.0,0,240,0.0,192,256,256,mse,0,600,0.0,5,18,slurmlogs/slurm-83101_0,node858,"fix transform bug, try again",83101.0,alice,jjia/afd_b,FAILED (exit code 1),1.0,6.0,1-09:58:22,63.41% of 2-05:34:24 core-walltime,08:55:44,145.33 GB,0.00% of 0.00 MB,Efficiency statistics may be misleading for RUNNING jobs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2021-04-18,14:48:12,train,0,conv3fc1,1024,1024,512,r,4,3,0.0,0,240,0.0,192,256,256,mse,0,600,0.0,5,18,slurmlogs/slurm-83102_0,node858,"fix transform bug, try again",83102.0,alice,jjia/afd_b,FAILED (exit code 1),1.0,6.0,1-09:43:48,63.00% of 2-05:32:36 core-walltime,08:55:26,145.08 GB,0.00% of 0.00 MB,Efficiency statistics may be misleading for RUNNING jobs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2021-04-18,15:25:17,train,0,conv3fc1,1024,1024,512,r,4,4,0.0,0,240,0.0,192,256,256,mse,0,600,0.0,5,18,slurmlogs/slurm-83103_0,node852,"fix transform bug, try again",83103.0,alice,jjia/afd_b,COMPLETED (exit code 0),1.0,6.0,1-06:17:14,62.60% of 2-00:22:54 core-walltime,08:03:49,144.94 GB,0.00% of 0.00 MB,Efficiency statistics may be misleading for RUNNING jobs.,2021-04-18,23:28:53,8:03:36,79.54,6.94,33.6,4.69,37.57,4.8,True,3.0,True,49.0,dataset/LowResolution_fix_size,dataset/SSc_DeepLearning/GohScores.xlsx,135.0,44.0,48.0,5.0,0.0001,GeForce RTX 2080 Ti,5984.0/11019.44 MB,3.6%,,,,,,,,,,,,,,,,0.0,,0.0467074310881081,mae,0.0,,0.0001226542377039,0.0,,4.3811610076605056e-05,0.0,,0.0017661603673614,0.0,,0.0015084014452588,0.0,,0.0432664034277072,0.08,0.11,0.12,0.17,0.27,0.09,0.1,0.11,0.19,0.29,0.05,0.07,0.05,0.14,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2021-04-19,00:04:11,infer,28,conv3fc1,1024,1024,512,r,4,1,0.0,0,240,0.0,192,256,256,mse,0,2,0.0,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
